tweet	thumbnail
they obsessively wash their hands despise having too much toilet paper and are incredible at socialdistancing <U+0001F602>   humans can l<U+6F20><U+2066><U+2061><U+6576><U+7463><U+726F><U+202C><U+616D><U+7274><U+7869><U+202C><U+6174><U+6C62><U+2C65><U+6420><U+7461><U+2061><U+7266><U+6D61><U+0A65><U+726F><U+6620><U+6E75><U+7463><U+6F69><U+2E6E><U+6953><U+636E><U+2065><U+633C><U+646F><U+3E65><U+6568><U+6461><U+2928><U+2F3C><U+6F63><U+6564><U+203E><U+6E61><U+2064><U+633C><U+646F><U+3E65><U+6174><U+6C69><U+2928><U+2F3C><U+6F63><U+6564><U+203E><U+7261><U+2065><U+6567><U+656E><U+6972><U+0A63><U+7566><U+636E><U+6974><U+6E6F><U+2C73><U+7420><U+6568><U+2079><U+616D><U+2079><U+6C61><U+6F73><U+6820><U+7661><U+2065><U+6562><U+6E65><U+6520><U+7478><U+6E65><U+6564><U+2064><U+6F74><U+6F20><U+6874><U+7265><U+6320><U+616C><U+7373><U+7365><U+0A2E><U+2F3C><U+3E70><U+0A0A><U+3C0A><U+3368><U+553E><U+6173><U+6567><U+2F3C><U+3368><U+0A3E><U+3C0A><U+7270><U+3E65><U+680A><U+6165><U+2864><U+2C78><U+2E20><U+2E2E><U+0A29><U+2323><U+4420><U+6665><U+7561><U+746C><U+5320><U+2033><U+656D><U+6874><U+646F><U+0A3A><U+6568><U+6461><U+7828><U+202C><U+206E><U+203D><U+4C36><U+202C><U+2E2E><U+292E><U+230A><U+2023><U+3353><U+6D20><U+7465><U+6F68><U+2064><U+6F66><U+2072><U+6C63><U+7361><U+2073><U+6427><U+7461><U+2E61><U+7266><U+6D61><U+2765><U+680A><U+6165><U+2864><U+2C78><U+6E20><U+3D20><U+3620><U+2C4C><U+2E20><U+2E2E><U+0A29><U+2323><U+5320><U+2033><U+656D><U+6874><U+646F><U+6620><U+726F><U+6320><U+616C><U+7373><U+2720><U+616D><U+7274><U+7869><U+0A27><U+6568><U+6461><U+7828><U+202C><U+206E><U+203D><U+4C36><U+202C><U+2E2E><U+292E><U+230A><U+2023><U+3353><U+6D20><U+7465><U+6F68><U+2064><U+6F66><U+2072><U+6C63><U+7361><U+2073><U+6627><U+6174><U+6C62><U+2765><U+680A><U+6165><U+2864><U+2C78><U+6E20><U+3D20><U+3620><U+2C4C><U+2E20><U+2E2E><U+0A29><U+2323><U+5320><U+2033><U+656D><U+6874><U+646F><U+6620><U+726F><U+6320><U+616C><U+7373><U+2720><U+6174><U+6C62><U+2765><U+680A><U+6165><U+2864><U+2C78><U+6E20><U+3D20><U+3620><U+2C4C><U+2E20><U+2E2E><U+0A29><U+2323><U+5320><U+2033><U+656D><U+6874><U+646F><U+6620><U+726F><U+6320><U+616C><U+7373><U+2720><U+7566><U+636E><U+6974><U+6E6F><U+0A27><U+6568><U+6461><U+7828><U+202C><U+206E><U+203D><U+4C36><U+202C><U+2E2E><U+292E><U+0A0A><U+6174><U+6C69><U+7828><U+202C><U+2E2E><U+292E><U+230A><U+2023><U+6544><U+6166><U+6C75>4<U+3353><U+6D20><U+7465><U+6F68><U+3A64><U+740A><U+6961><U+286C><U+2C78><U+6E20><U+3D20><U+3620><U+2C4C><U+2E20><U+2E2E><U+0A29><U+2323><U+5320><U+2033><U+656D><U+6874><U+646F><U+6620><U+726F><U+6320><U+616C><U+7373><U+2720><U+6164><U+6174><U+662E><U+6172><U+656D><U+0A27><U+6174><U+6C69><U+7828><U+202C><U+206E><U+203D><U+4C36><U+202C><U+2E2E><U+292E><U+230A><U+2023><U+3353><U+6D20><U+7465><U+6F68><U+2064><U+6F66><U+2072><U+6C63><U+7361><U+2073><U+6D27><U+7461><U+6972><U+2778><U+740A><U+6961><U+286C><U+2C78><U+6E20><U+3D20><U+3620><U+2C4C><U+6120><U+6464><U+6F72><U+6E77><U+6D75><U+2073><U+203D><U+5254><U+4555><U+202C><U+2E2E><U+292E><U+230A><U+2023><U+3353><U+6D20><U+7465><U+6F68><U+2064><U+6F66><U+2072><U+6C63><U+7361><U+2073><U+6627><U+6174><U+6C62><U+2765><U+740A><U+6961><U+286C><U+2C78><U+6E20><U+3D20><U+3620><U+2C4C><U+6120><U+6464><U+6F72><U+6E77><U+6D75><U+2073><U+203D><U+4146><U+534C><U+2C45><U+2E20><U+2E2E><U+0A29><U+2323><U+5320><U+2033><U+656D><U+6874><U+646F><U+6620><U+726F><U+6320><U+616C><U+7373><U+2720><U+6174><U+6C62><U+2765><U+740A><U+6961><U+286C><U+2C78><U+6E20><U+3D20><U+3620><U+2C4C><U+6120><U+6464><U+6F72><U+6E77><U+6D75><U+2073><U+203D><U+5254><U+4555><U+202C><U+2E2E><U+292E><U+230A><U+2023><U+3353><U+6D20><U+7465><U+6F68><U+2064><U+6F66><U+2072><U+6C63><U+7361><U+2073><U+6627><U+6E75><U+7463><U+6F69><U+276E><U+740A><U+6961><U+286C><U+2C78><U+6E20><U+3D20><U+3620><U+2C4C><U+2E20><U+2E2E><U+0A29><U+2F3C><U+7270><U+3E65><U+0A0A><U+3C0A><U+3368><U+413E><U+6772><U+6D75><U+6E65><U+7374><U+2F3C><U+3368><U+0A3E><U+3C0A><U+6174><U+6C62><U+2065><U+7573><U+6D6D><U+7261><U+3D79><U+5222><U+6120><U+6772><U+6C62><U+636F><U+0A3E><U+743C><U+2072><U+6176><U+696C><U+6E67><U+223D><U+6F74><U+2270><U+3C3E><U+6474><U+3C3E><U+6F63><U+6564><U+783E><U+2F3C><U+6F63><U+6564><U+3C3E><U+742F><U+3E64><U+3C0A><U+6474><U+0A3E><U+703C><U+613E><U+206E><U+626F><U+656A><U+7463><U+2F3C><U+3E70><U+3C0A><U+742F><U+3E64><U+2F3C><U+7274><U+0A3E><U+743C><U+2072><U+6176><U+696C><U+6E67><U+223D><U+6F74><U+2270><U+3C3E><U+6474><U+3C3E><U+6F63><U+6564><U+6E3E><U+2F3C><U+6F63><U+6564><U+3C3E><U+742F><U+3E64><U+3C0A><U+6474><U+0A3E><U+703C><U+613E><U+7320><U+6E69><U+6C67><U+2065><U+6E69><U+6574><U+6567><U+2E72><U+6649><U+7020><U+736F><U+7469><U+7669><U+2065><U+726F><U+7A20><U+7265><U+2C6F><U+7320><U+7A69><U+2065><U+6F66><U+2072><U+6874><U+2065><U+6572><U+7573><U+746C><U+6E69><U+0A67><U+626F><U+656A><U+7463><U+756E><U+626D><U+7265><U+6F20><U+2066><U+6C65><U+6D65><U+6E65><U+7374><U+6620><U+726F><U+6120><U+7620><U+6365><U+6F74><U+2072><U+6928><U+636E><U+756C><U+6964><U+676E><U+6C20><U+7369><U+7374><U+2C29><U+7220><U+776F><U+2073><U+6F66><U+0A72><U+2061><U+616D><U+7274><U+7869><U+6F20><U+2072><U+6164><U+6174><U+6620><U+6172><U+656D><U+6F20><U+2072><U+696C><U+656E><U+2073><U+6F66><U+2072><U+2061><U+7566><U+636E><U+6974><U+6E6F><U+202E><U+4920><U+2066><U+656E><U+6167><U+6974><U+6576><U+202C><U+6C61><U+206C><U+7562><U+0A74><U+6874><U+2065><U+633C><U+646F><U+3E65><U+3C6E><U+632F><U+646F><U+3E65><U+6C20><U+7361><U+2F74><U+6966><U+7372>4<U+756E><U+626D><U+7265><U+6F20><U+2066><U+6C65><U+6D65><U+6E65><U+7374><U+6F20><U+2066><U+633C><U+646F><U+3E65><U+3C78><U+632F><U+646F><U+3E65><U+3C2E><U+702F><U+0A3E><U+2F3C><U+6474><U+3C3E><U+742F><U+3E72><U+3C0A><U+7274><U+7620><U+6C61><U+6769><U+3D6E><U+7422><U+706F><U+3E22><U+743C><U+3E64><U+633C><U+646F><U+3E65><U+6461><U+7264><U+776F><U+756E><U+736D><U+2F3C><U+6F63><U+6564><U+3C3E><U+742F><U+3E64><U+3C0A><U+6474><U+0A3E><U+703C><U+693E><U+2066><U+6874><U+7265><U+2065><U+7261><U+2065><U+6F6E><U+7220><U+776F><U+6E20><U+6D61><U+7365><U+202C><U+7263><U+6165><U+6574><U+7420><U+6568><U+206D><U+7266><U+6D6F><U+7420><U+6568><U+7220><U+776F><U+6E0A><U+6D75><U+6562><U+7372><U+3C2E><U+702F><U+0A3E><U+2F3C><U+6474><U+3C3E><U+742F><U+3E72><U+3C0A><U+7274><U+7620><U+6C61><U+6769><U+3D6E><U+7422><U+706F><U+3E22><U+743C><U+3E64><U+633C><U+646F><U+3E65><U+2E2E><U+3C2E><U+632F><U+646F><U+3E65><U+2F3C><U+6474><U+0A3E><U+743C><U+3E64><U+3C0A><U+3E70><U+7261><U+7567><U+656D><U+746E><U+2073><U+6F74><U+6220><U+2065><U+6170><U+7373><U+6465><U+7420><U+206F><U+726F><U+6620><U+6F72><U+206D><U+746F><U+6568><U+2072><U+656D><U+6874><U+646F><U+2E73><U+2F3C><U+3E70><U+3C0A><U+742F><U+3E64><U+2F3C><U+7274><U+0A3E><U+2F3C><U+6174><U+6C62><U+3E65><U+0A0A> <U+3368><U+443E><U+7465><U+6961><U+736C><U+2F3C><U+3368><U+0A3E><U+3C0A><U+3E70><U+6F46><U+2072><U+616D><U+7274><U+6369><U+7365><U+202C><U+2D32><U+6964><U+206D><U+6174><U+6C62><U+7365><U+6120><U+646E><U+6420><U+7461><U+2061><U+7266><U+6D61><U+7365><U+202C><U+633C><U+646F><U+3E65><U+6568><U+6461><U+2928><U+2F3C><U+6F63><U+6564><U+203E><U+3C28><U+6F63><U+6564><U+743E><U+6961><U+286C><U+3C29><U+632F><U+646F><U+3E65><U+2029><U+6572><U+7574><U+6E72><U+0A73><U+6874><U+2065><U+6966><U+7372>4<U+6C28><U+7361><U+2974><U+3C20><U+6F63><U+6564><U+6E3E><U+2F3C><U+6F63><U+6564><U+203E><U+6F72><U+7377><U+7720><U+6568><U+206E><U+633C><U+646F><U+3E65><U+206E><U+6726><U+3B74><U+203D><U+3C30><U+632F><U+646F><U+3E65><U+6F20><U+2072><U+6C61><U+206C><U+7562>4<U+6874><U+0A65><U+616C><U+7473><U+2820><U+6966><U+7372><U+2974><U+3C20><U+6F63><U+6564><U+6E3E><U+2F3C><U+6F63><U+6564><U+203E><U+6F72><U+7377><U+7720><U+6568><U+206E><U+633C><U+646F><U+3E65><U+206E><U+6C26><U+3B74><U+3020><U+2F3C><U+6F63><U+6564><U+2E3E><U+633C><U+646F><U+3E65><U+6568><U+6461><U+6D2E><U+7461><U+6972><U+2878><U+3C29><U+632F><U+646F><U+3E65><U+6120><U+646E><U+3C0A><U+6F63><U+6564><U+743E><U+6961><U+2E6C><U+616D><U+7274><U+7869><U+2928><U+2F3C><U+6F63><U+6564><U+203E><U+7261><U+2065><U+7865><U+6F70><U+7472><U+6465><U+202E><U+4620><U+726F><U+6620><U+6E75><U+7463><U+6F69><U+736E><U+202C><U+6874><U+0A65><U+696C><U+656E><U+2073><U+666F><U+7420><U+6568><U+6420><U+7065><U+7261><U+6573><U+2064><U+7566><U+636E><U+6974><U+6E6F><U+6120><U+6572><U+7220><U+7465><U+7275><U+656E><U+2064><U+7361><U+6320><U+6168><U+6172><U+7463><U+7265><U+7320><U+7274><U+6E69><U+7367><U+0A2E><U+2F3C><U+3E70><U+3C0A><U+3E70><U+6649><U+6120><U+6D20><U+7461><U+6972>8<U+6168><U+2073><U+6F6E><U+7220><U+776F><U+6E20><U+6D61><U+7365><U+202C><U+6874><U+6E65><U+3C20><U+6F63><U+6564><U+743E><U+6961><U+286C><U+3C29><U+632F><U+646F><U+3E65><U+7720><U+6C69><U+206C><U+6461><U+2064><U+6F72>7<U+616E><U+656D><U+2073><U+666F><U+740A><U+6568><U+6620><U+726F><U+206D><U+633C><U+646F><U+3E65><U+5B22><U+2C6E><U+225D><U+2F3C><U+6F63><U+6564><U+203E><U+6F74><U+7420><U+6568><U+7220><U+7365><U+6C75><U+2C74><U+7320><U+206F><U+6874><U+7461><U+6920>4<U+6F6C><U+6B6F><U+2073><U+6973><U+696D><U+616C><U+2072><U+6F74><U+7420><U+6568><U+6C0A><U+7361>4<U+696C><U+656E><U+2073><U+666F><U+3C20><U+6F63><U+6564><U+783E><U+2F3C><U+6F63><U+6564><U+203E><U+6877><U+6E65><U+7020><U+6972><U+746E><U+6465><U+202E><U+5320><U+7465><U+6974><U+676E><U+3C20><U+6F63><U+6564><U+613E><U+6464><U+6F72><U+6E77><U+6D75><U+2073><U+0A3D><U+4146><U+534C><U+3C45><U+632F><U+646F><U+3E65><U+7320><U+7075><U+7270><U+7365><U+6573><U+2073><U+6874><U+7369><U+6220><U+6865><U+7661><U+6F69><U+7275><U+0A2E><U+2F3C><U+3E70><U+0A0A><U+3C0A><U+3368><U+563E><U+6C61><U+6575><U+2F3C><U+3368><U+0A3E><U+3C0A><U+3E70><U+6E41><U+6F20><U+6A62><U+6365>4<U+7528><U+7573><U+6C61><U+796C><U+2029><U+696C><U+656B><U+3C20><U+6F63><U+6564><U+783E><U+2F3C><U+6F63><U+6564><U+203E><U+7562>4<U+6567><U+656E><U+6172><U+6C6C><U+2079><U+6D73><U+6C61><U+656C><U+2E72><U+6F46><U+0A72><U+633C><U+646F><U+3E65><U+613C><U+6820><U+6572><U+3D66><U+2E22><U+2F2E><U+2E2E><U+752F><U+6974><U+736C><U+682F><U+6C65><U+2F70><U+7466><U+6261><U+656C><U+3E22><U+7466><U+6261><U+656C><U+2F3C><U+3E61><U+2F3C><U+6F63><U+6564><U+203E><U+626F><U+656A><U+7463><U+2073><U+633C><U+646F><U+3E65><U+3C78><U+632F><U+646F><U+3E65><U+202C><U+2061><U+7274><U+6E61><U+6673><U+726F><U+656D><U+2064><U+633C><U+646F><U+3E65><U+6F66><U+6D72><U+7461><U+7828><U+3C29><U+632F><U+646F><U+3E65><U+0A2E><U+2F3C><U+3E70><U+0A0A><U+3C0A><U+3368><U+413E><U+7475><U+6F68><U+2872><U+2973><U+2F3C><U+3368><U+0A3E><U+3C0A><U+3E70><U+6150><U+7274><U+6369><U+206B><U+7542><U+6E72><U+2C73><U+6920><U+706D><U+6F72><U+6576><U+2064><U+6E61><U+2064><U+6F63><U+7272><U+6365><U+6574><U+2064><U+7962><U+5220><U+432D><U+726F><U+2E65><U+4E20><U+6765><U+7461><U+7669><U+2065><U+7261><U+7567><U+656D><U+746E><U+610A><U+6464><U+6465><U+6220><U+2079><U+6956><U+636E><U+6E65>4<U+6F47><U+6C75><U+7465><U+0A2E><U+2F3C><U+3E70><U+0A0A><U+3C0A><U+3368><U+453E><U+6178><U+706D><U+656C><U+3C73><U+682F><U+3E33><U+0A0A><U+703C><U+6572><U+0A3E><U+6568><U+6461><U+6C28><U+7465><U+6574><U+7372><U+0A29><U+6568><U+6461><U+6C28><U+7465><U+6574><U+7372><U+202C><U+206E><U+203D><U+362D><U+294C><U+0A0A><U+6568><U+6461><U+6628><U+6572><U+6E65><U+2E79><U+2C78><U+6E20><U+3D20><U+3120><U+4C30><U+0A29><U+6568><U+6461><U+6628><U+6572><U+6E65><U+2E79><U+2979><U+0A0A><U+6174><U+6C69><U+6C28><U+7465><U+6574><U+7372><U+0A29><U+6174><U+6C69><U+6C28><U+7465><U+6574><U+7372><U+202C><U+206E><U+203D><U+362D><U+294C><U+0A0A><U+6174><U+6C69><U+6628><U+6572><U+6E65><U+2E79><U+2978><U+740A><U+6961><U+286C><U+7266><U+6565><U+796E><U+792E><U+0A29><U+740A><U+6961><U+286C><U+696C><U+7262><U+7261><U+2979><U+0A0A><U+6568><U+6461><U+7328><U+6174><U+7374><U+3A3A><U+7466><U+6261><U+656C><U+5428><U+7469><U+6E61><U+6369><U+2929><U+3C0A><U+702F><U+6572><U+0A3E><U+3C0A><U+7268><U+2F20><U+3C3E><U+6964>6<U+7473><U+6C79><U+3D65><U+7422><U+7865><U+2D74><U+6C61><U+6769><U+3A6E><U+6320><U+6E65><U+6574><U+3B72><U+3E22><U+505B><U+6361><U+616B><U+6567><U+3C20><U+6D65><U+753E><U+6974><U+736C><U+2F3C><U+6D65><U+203E><U+6576><U+7372><U+6F69><U+206E><U+2E33><U+2E35><U+613C><U+6820><U+6572><U+3D66><U+3022><U+4930><U+646E><U+7865><U+682E><U+6D74><U+226C><U+493E><U+646E><U+7865><U+2F3C><U+3E61><U+3C5D><U+642F><U+7669><U+0A3E>	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
djibouti reportednew cases o coronavirus disease today the total number in the country raised to besince	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
a very special part o this project was the covid or children piece   we created kidriendly act sheets oryear	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
the international community must interere and stop the islamic terrorist and brutal regime to urther spreadin	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
the governments has revealed its latest deterrent to keep the public o the streets lol corrie coviduk covid stay	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
we have gathered a list o helpul resources and guidance about coronavirus to share with parent carers children amp young	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
in the global humanitarian response plan to ight the coronavirusis appealing ormillion to    protect healthn amp young	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
manymaking the most o a horrible situation lots o solo rides being posted onkeep sae	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
my mom is a doctor  she stays away rom me to help you can you please stay at home to help her  please do your part	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
ppe covid or ems mask gloves goggles longsleeved gown <U+0001F637>  but why is headhair covering neglected so otedo your part	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
we kindly requestto help veriytwitter account the agency has been playing key roles in cr	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
with mps set to leave parliament tonight or a month long recess because o covid themillion selemployed need answ	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
check out this video o how covid attacks the lungs	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
we are in a crucial period in the ight back against covid  this is neither a dummy or practice run   this is real and	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
great news   president trump just granted a major disaster declaration or texas   this will expand the resources avai	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
italy update appears more days will help conirm hopeully covid cases peaked in italydays ater national lockdow	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
where are todays uk death igurescoronaviruslockdown coronaviruslockdownuk corona covid coronavirusuk	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
the four seasons hotel on th street will provide free lodging to doctors nurses amp medical personnel currently working to	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
outrageous both wall street parties are taking advantage o covid to orce thru a massive upward redistribution o wea	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
no the new coronavirus wasnt created in a lab scientists saycbc newssciencematters facts	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
